SIRIUS XM HOLDINGS INC.,4.70,+15.48%,4.16,4.92,4.00,"19,168,533"
VINFAST AUTO,12.00,+6.95%,11.11,12.87,10.64,"3,304,454"
COINBASE GLOBAL INC.,76.25,+6.61%,72.59,77.13,71.51,"3,553,366"
ADVANCED MICRO DEVICES INC.,103.30,+5.33%,97.94,104.20,97.76,"38,719,991"
LIBERTY MEDIA CORP.,32.14,+4.66%,30.67,32.25,30.67,"30,366"
LIBERTY MEDIA CORP.,32.35,+4.56%,30.88,32.49,30.88,"103,753"
TERADYNE INC.,100.33,+3.99%,96.39,100.51,96.25,"308,380"
THE TRADE DESK INC.,78.42,+3.96%,76.52,78.73,75.79,"876,710"
MARVELL TECHNOLOGY INC.,54.48,+3.67%,52.26,54.73,52.19,"2,941,058"
MONGODB INC.,340.00,+3.61%,324.69,340.64,323.01,"313,857"
MONOLITHIC POWER SYSTEMS INC.,456.97,+3.58%,440.74,458.92,437.46,"181,362"
KLA CORP.,461.15,+3.50%,444.69,463.01,443.71,"179,375"
MICROCHIP TECHNOLOGY INC.,79.00,+3.27%,76.63,79.25,76.33,"938,695"
APPLIED MATERIALS INC.,139.32,+3.15%,134.68,139.80,134.28,"1,432,476"
ON SEMICONDUCTOR,94.86,+3.05%,92.14,95.64,91.43,"1,136,839"
SYNOPSYS INC.,460.21,+3.02%,446.63,461.10,445.07,"186,773"
NXP SEMICONDUCTORS N.V.,202.43,+2.91%,197.09,202.74,196.12,"270,755"
MARRIOTT INTERNATIONAL,199.50,+2.90%,194.44,200.07,194.10,"506,973"
AIRBNB INC.,137.84,+2.84%,133.65,138.23,132.88,"1,446,808"
AUTODESK INC.,207.99,+2.82%,202.28,208.39,201.95,"258,538"
GLOBALFOUNDRIES INC. ORD.,59.43,+2.80%,58.19,59.87,57.30,"222,025"
EXPEDIA GROUP INC.,102.84,+2.58%,99.76,103.04,99.69,"309,537"
GE HEALTHCARE TECHNOLOGIES,70.04,+2.58%,68.74,70.24,68.01,"1,616,247"
META PLATFORMS INC.,304.99,+2.44%,298.93,306.33,296.70,"8,957,766"
LAM RESEARCH CORP.,628.77,+2.42%,610.97,630.36,607.63,"317,462"
BROADCOM INC.,836.52,+2.41%,820.17,838.86,814.68,"353,263"
ANALOG DEVICES INC.,176.93,+2.38%,172.81,177.62,172.26,"516,739"
SKYWORKS SOLUTIONS INC.,98.55,+2.34%,96.20,99.00,95.82,"214,590"
TESLA INC.,245.95,+2.27%,240.02,247.55,238.65,"60,818,610"
ROSS STORES INC.,111.36,+2.24%,109.45,111.50,109.19,"576,529"
WESTERN DIGITAL,45.55,+2.22%,44.62,45.89,44.59,"1,406,305"
BENTLEY SYSTEMS INC.,50.31,+2.21%,49.02,50.38,48.72,"120,544"
DATADOG INC.,89.73,+2.16%,86.90,90.11,85.29,"1,223,510"
QUALCOMM INC.,111.54,+2.15%,109.76,111.78,109.18,"1,246,078"
CHARTER COMMUNICATIONS INC.,442.54,+2.10%,433.42,442.84,432.17,"131,685"
INTEL CORP.,35.32,+2.05%,34.65,35.66,34.38,"11,038,921"
ZSCALER INC.,151.91,+2.04%,148.43,152.45,146.71,"244,932"
CADENCE DESIGN SYSTEMS INC.,235.29,+2.01%,230.01,236.22,229.23,"195,759"
CDW CORP.,202.60,+1.97%,198.94,203.05,198.94,"103,993"
NETAPP INC.,76.41,+1.95%,75.21,76.61,75.12,"527,164"
PALO ALTO NETWORKS INC.,236.35,+1.92%,232.47,237.30,230.67,"614,041"
OLD DOMINION FREIGHT LINE INC.,407.48,+1.90%,399.21,408.15,396.66,"271,166"
ASML HOLDING N.V. NEW YORK REGISTRY SHA,585.38,+1.89%,566.23,588.30,563.99,"286,445"
ATLANTA BRAVES HLD.,39.21,+1.87%,38.49,39.25,38.49,"6,341"
ALPHABET INC. CLASS A,132.92,+1.82%,129.84,133.30,129.79,"8,618,701"
PACCAR INC.,86.30,+1.76%,85.01,86.46,85.00,"442,714"
NVIDIA CORP.,432.16,+1.76%,424.60,434.46,421.15,"20,269,508"
ANSYS INC.,299.37,+1.71%,294.23,299.99,292.06,"86,513"
LIBERTY MEDIA CORP.,56.38,+1.66%,55.29,56.55,55.24,"63,473"
TEXAS INSTRUMENTS INC.,160.77,+1.66%,158.14,161.38,158.07,"559,563"
ULTA BEAUTY INC.,398.93,+1.65%,392.47,399.26,391.30,"102,890"
FIRST SOLAR INC.,161.20,+1.63%,159.10,162.91,157.49,"437,512"
CROWDSTRIKE HOLDINGS INC.,165.70,+1.63%,162.29,166.14,161.43,"602,737"
FORTINET INC.,59.09,+1.63%,58.18,59.24,57.71,"807,743"
INTUIT INC.,516.45,+1.62%,504.46,517.67,501.18,"293,623"
CISCO SYSTEMS INC.,54.05,+1.60%,53.37,54.19,53.35,"5,771,492"
ELECTRONIC ARTS INC.,119.84,+1.59%,118.13,120.07,117.70,"445,475"
PAYPAL HOLDINGS INC.,58.24,+1.57%,57.41,58.41,57.02,"5,256,825"
PTC INC.,140.63,+1.56%,138.30,140.73,137.65,"208,905"
FOX CORP.,31.40,+1.55%,30.92,31.52,30.89,"910,993"
TAKE-TWO INTERACTIVE SOFTWARE,139.90,+1.54%,137.78,141.16,137.12,"359,600"
EQUINIX INC.,717.34,+1.45%,710.31,719.87,707.43,"142,579"
EBAY INC.,43.51,+1.45%,42.73,43.62,42.72,"1,151,080"
COPART INC.,43.67,+1.44%,43.09,43.81,42.81,"1,398,140"
NASDAQ INC.,49.02,+1.43%,48.39,49.30,48.39,"662,807"
VERISIGN INC.,203.32,+1.42%,199.68,203.68,199.44,"78,827"
LPL FINANCIAL HLD.,240.43,+1.42%,237.35,240.95,237.35,"42,532"
ZOOM VIDEO COMMUNICATIONS INC.,68.27,+1.41%,67.00,68.39,66.41,"498,929"
PRINCIPAL FINANCIAL GROUP INC,73.00,+1.39%,71.99,73.11,71.99,"222,387"
ATLANTA BRAVES HLD.,35.99,+1.38%,35.51,36.10,35.50,"59,184"
CINTAS CORP.,487.64,+1.36%,481.19,488.97,480.17,"98,448"
COCA-COLA EUROPACIFIC PARTNERS PLC,63.16,+1.36%,62.50,63.28,62.36,"500,648"
NORTHERN TRUST CORP.,69.37,+1.34%,68.62,69.50,68.48,"206,465"
FASTENAL COMPANY,55.79,+1.33%,55.17,55.90,55.07,"552,935"
T. ROWE PRICE GROUP INC.,104.92,+1.33%,103.65,105.18,103.06,"385,708"
